Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1983,1983,kg/ha,210.1,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1984,1984,kg/ha,208.4,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1985,1985,kg/ha,216,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1986,1986,kg/ha,248.2,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1987,1987,kg/ha,254.5,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1988,1988,kg/ha,342.6,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1989,1989,kg/ha,421.3,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1990,1990,kg/ha,423.2,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1991,1991,kg/ha,335.4,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1992,1992,kg/ha,433,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1993,1993,kg/ha,362.7,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1994,1994,kg/ha,419.6,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1995,1995,kg/ha,403.9,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1996,1996,kg/ha,383.8,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1997,1997,kg/ha,300,A,Official figure,
